ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time,Normalized Restaurant
3326,Sion,Mumbai,Cafe Vrindavan,500,4.3,100,"North Indian,Chinese,South Indian",Sion Station,42,cafe vrindavan
3329,Mumbai,Mumbai,Ramdeo,450,4.0,500,"North Indian,Chinese,South Indian,Fast Food",Sion Station,44,ramdeo
3331,Mumbai,Mumbai,Shabari,400,3.9,100,"North Indian,South Indian,Fast Food",Sion West,48,habari
3332,Rajajinagar,Bangalore,The Purple Pan,400,4.1,1000,"Mughlai,North Indian,Chinese,Arabian",Dr. Rajkumar Road,56,the purple pan
3350,Pulikeshi Nagar,Bangalore,Moriz Nano,500,2.9,80,"North Indian,Chinese,Biryani,Seafood",Lakeview,50,moriz nano
3369,Ashok Nagar,Bangalore,Truffles,450,4.5,1000,"American,Desserts,Continental,Italian",St. Marks Road,29,truffle
3439,Golpark,Kolkata,The Grub Club,400,4.3,1000,"Italian,Chinese,Thai",Golpark,69,the grub club
3454,Koramangala,Bangalore,Lazeez,500,4.2,500,"North Indian,Mughlai",5Th Block,55,lazeez
3531,Shivajinagar,Pune,Marrakesh,300,4.0,100,"Lebanese,North Indian,Afghani,Mughlai,Combo,Biryani,Kebabs,Mediterranean,Arabian,Middle Eastern,Desserts",Fc Road,46,marrakeh
3549,Banjara Hills,Hyderabad,Keshav Reddy Sweets,150,4.2,500,"Sweets,Bakery,Desserts,Fast Food,Street Food,Chaat",Road No 2,65,kehav reddy weet
3813,Gariahat,Kolkata,Kimli,600,4.4,100,"Chinese,Seafood",Purnadas Road,69,kimli
3830,Koregaon Park,Pune,Prem'S,1200,4.2,100,"North Indian,Chinese,Continental,Asian,Desserts,Beverages",Koregaon Park,53,prem
3835,Deccan Gymkhana,Pune,The Chocolate Room,450,2.9,80,"Desserts,Continental,Fast Food",Fc Road,39,the chocolate room
3855,Koregaon Park,Pune,Uncle'S Chinese,350,4.1,1000,"Chinese,Thai,Malaysian",Koregaon Park,55,uncle chinee
3889,Jayanagar,Bangalore,House Of Kebab'S,500,3.7,50,"North Indian,Chinese,Biryani",Rv Road,51,houe of kebab
3914,Karkhana,Hyderabad,Oh So Stoned,300,3.9,100,Ice Cream  Desserts,Vikrampuri Colony,68,oh o toned
4051,Kothrud,Pune,Zest Cafe Bar,250,4.2,20,"Chinese,Fast Food",Ideal Chambers  Kothrud,57,zet cafe bar
4064,Koregaon Park,Pune,Seven - Shawarma And Burgers,250,3.9,100,"Lebanese,Fast Food,Snacks,Arabian",Koregaon Park,51,even - hawarma & burger
4086,Kothrud,Pune,Rushhrs,250,4.3,100,"Salads,Healthy Food",Karishma Housing Society,46,ruhhr
4087,Erandwane,Pune,Aroma'S Hyderabad House - Karve Road,400,4.2,500,"Biryani,Mughlai,North Indian,Chinese",Karve Road,35,aroma hyderabad houe - karve road
4138,Koti,Hyderabad,Grand Hotel,300,4.1,10000,"Biryani,Tandoor,Chinese,Indian,Kebabs,Desserts",Abids Road,24,grand hotel
4188,Dilsukhnagar,Hyderabad,Tipsy Topsy,250,3.7,500,Chinese  Italian  Desserts  Bakery  Fast Food,Dilsukhnagar Main Road,39,tipy topy
4248,Nagole,Hyderabad,Hotel Swagath Grand - Dhanturi Group Of Hotels,300,3.9,1000,"Biryani,Chinese,South Indian,North Indian,Tandoor",Alkapuri X Roads,67,hotel wagath grand - dhanturi group of hotel
4252,Chandrapuri Colony,Hyderabad,Hotel Sitara Grand - Dhanturi Group Of Hotels,300,3.8,1000,"Biryani,Chinese,South Indian,North Indian,Tandoor",L B Nagar,70,hotel itara grand - dhanturi group of hotel
4256,Kothapet,Hyderabad,Nakshatra Inn Multi Cuisine Restaurant,300,3.8,100,"Biryani,Chinese,North Indian,South Indian",Lakshmi Nagar Colony,52,nakhatra inn multi cuiine retaurant
4320,Narayanguda,Hyderabad,Mehfil,300,3.9,10000,"Biryani,Tandoor,Chinese,Indian,Kebabs,Desserts",Narayanguda,25,mehfil
4338,Fc Road,Pune,The Burger Barn Cafe,300,4.1,100,"American,Fast Food",Ghole Road,46,the burger barn cafe
4429,Park Street Area,Kolkata,Sip & Sandwich,300,2.9,80,Pastas  Beverages  Fast Food,Park Street,60,ip & andwich
4430,Beniapukur,Kolkata,Shiraz Golden Restaurant,500,4.4,1000,"Biryani,Mughlai,North Indian,Indian,Kebabs,Tandoor",Park Street,52,hiraz golden retaurant
4484,Park Street Area,Kolkata,Mocambo,1500,4.4,1000,"North Indian,Biryani,Continental,Italian",Park Street,62,mocambo
4558,Bidhannagar,Kolkata,The Scoop,400,4.1,100,"North Indian,Chinese,South Indian,Fast Food",Sector 1,70,the coop
4565,Bidhannagar,Kolkata,Kaafila,1600,3.9,50,"Mughlai,North Indian",Sector 1,71,kaafila
4587,Bidhannagar,Kolkata,Ranjan'S,200,4.2,100,"North Indian,Chinese",Sector 3,56,ranjan
4599,Bidhannagar,Kolkata,Balle Balle Dhaba,500,4.1,1000,"North Indian,Punjabi,Biryani",Sector 1,59,balle balle dhaba
4600,Bidhannagar,Kolkata,Le Coffee Creme,600,3.9,50,"Combo,Chinese,Continental,Italian,Fast Food,Mexican",Sector 1,68,le coffee creme
4614,Himayatnagar,Hyderabad,Crystal Restaurant,350,3.9,1000,"Biryani,North Indian,Chinese",Rtc X Roads,34,crytal retaurant
4650,New Nallakunta,Hyderabad,Bawarchi,300,3.9,10000,"Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai",Rtc X Roads,27,bawarchi
4739,Sivanchetti Gardens,Bangalore,The Grill House - Steaks & Sizzlers,1100,4.2,100,"American,Steakhouse,Italian,Mexican,Continental,Mediterranean,Desserts,Grill,Salads,Pastas,Pizzas,Lebanese",Kensington Point,52,the grill houe - teak & izzler
4774,Adikmet,Hyderabad,Us Pizza,200,3.2,20,"Italian,Pizzas,Fast Food,Beverages,Desserts",O.U Road,48,u pizza
4776,Amberpet,Hyderabad,Surabhi Grand,300,4.0,500,"Mughlai,North Indian,Chinese,Seafood",Tilaknagar,45,urabhi grand
4781,Himayatnagar,Hyderabad,Bluedragon By Mandilicious,300,4.2,20,Chinese,Himayathnagar,34,bluedragon by mandiliciou
4783,Adikmet,Hyderabad,Frosty Den,200,2.2,20,"Ice Cream,Pizzas,Fast Food,Beverages,Desserts",O.U Road,43,froty den
4810,Banjara Hills,Hyderabad,Sitara Grand - Nizami Pakwaan,300,3.6,100,"Biryani,Chinese,South Indian,North Indian,Tandoor",Road No 12,62,itara grand - nizami pakwaan
4841,Karve Nagar,Pune,Cheesiano Pizza,500,3.9,100,"Italian,Pizzas,Fast Food",Karvenagar,52,cheeiano pizza
4853,Domlur,Bangalore,Venus Biryani,200,4.1,500,Biryani,3Rd Cross,49,venu biryani
4956,Andheri East,Mumbai,Rj Spice,450,4.1,20,Chinese  Thai  Fast Food,Jb Nagar  Andheri East,55,rj pice
5107,Agarkar Nagar,Pune,Blue Nile,1000,4.2,1000,"Biryani,Mughlai,Tandoor,Chinese,Desserts,Ice Cream,Beverages",Bund Garden Road,31,blue nile
5119,Koregaon Park,Pune,Arthur'S Theme,800,4.3,100,"Italian,European",Lane No 6 Opp Cosmos Bank Kp,56,arthur theme
5120,Mundhwa,Pune,Carnival Restaurant & Bar,1000,4.2,100,"North Indian,Chinese,Seafood,Continental",Mundhwa Road Kp,64,carnival retaurant & bar
5139,Shivajinagar,Pune,Smokin' Joe'S,400,4.0,50,"American,Fast Food",Jm Road,35,mokin joe
5150,Mohammed Wadi,Pune,Chai - The Way You Like It,250,4.0,50,Fast Food,Salunkhe Vihar Road,73,chai - the way you like it
5157,Shivajinagar,Pune,Mainland China,850,4.4,100,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",Pyramid Mall,53,mainland china
5172,Bandra Area,Mumbai,Theobroma,800,4.7,500,"Desserts,Bakery,Beverages",Bandra Area,40,theobroma
5208,Paschim Vihar,Delhi,Deli 63,400,2.9,80,"Street Food,Fast Food",Punjabi Bagh,60,deli 63
5221,Malleshwaram,Bangalore,Food Paradise,326,3.9,100,"Mughlai,North Indian,Chinese,Fast Food",Malleshwaram,53,food paradie
5247,Ashok Nagar,Bangalore,Corner House Ice Cream,250,4.7,1000,"Ice Cream,Desserts",Residency Road,31,corner houe ice cream
5251,Kalighat,Kolkata,Bachan'S Dhaba,250,4.3,5000,"North Indian,Chinese",Near Kalighat Metro Rash Behari Avenue,61,bachan dhaba
5255,Ballygunge,Kolkata,Mainland China,850,4.5,100,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",Ballygunge,64,mainland china
5285,Lakdikapul,Hyderabad,Chicha'S,200,3.8,500,"Biryani,Hyderabadi,Indian,Street Food",P & T Officers Colony,40,chicha
5297,Deccan Gymkhana,Pune,Le Plaisir,1000,4.5,500,"Italian,Continental,European,Desserts",Prabhat Road Deccan,40,le plaiir
5370,Deccan Gymkhana,Pune,Cafe Goodluck,200,4.4,100,"North Indian,Fast Food,Biryani,Cafe,Snacks,Beverages,Bakery",Shivajinagar,35,cafe goodluck
5408,Camp,Pune,George Restaurant,600,4.3,1000,"North Indian,Chinese,Biryani,Mughlai,Parsi,Fast Food",East Street,33,george retaurant
5496,Camp,Pune,Marzorin,200,4.4,1000,"Fast Food,Bakery,Beverages,Snacks,Desserts",Mg Road,33,marzorin
5504,Antop Hill,Mumbai,Monica Chinese Fast Food,350,3.9,50,Chinese,Antop Hill,57,monica chinee fat food
5538,Kothapet,Hyderabad,Kinara Grand,750,3.9,1000,"North Indian,Chinese,Biryani",Ashta Laxmi Temple,58,kinara grand
5549,New Tippasandra,Bangalore,Dal Roti Sabji,150,4.5,100,North Indian,80Ft Road,54,dal roti abji
5573,Ashok Nagar,Bangalore,Mainland China,850,4.3,100,"Chinese,Oriental,Thai,Pan-Asian,Seafood,Asian,Desserts",Church Street,40,mainland china
5582,Vasanth Nagar,Bangalore,Shezan,600,4.3,100,"North Indian,Chinese,Continental,Mughlai",Cunnigham Road,44,hezan
5596,Vasanth Nagar,Bangalore,Dolci Desserts,600,4.5,50,"Desserts,Pastas",Cunnigham Road,40,dolci deert
5624,Deccan Gymkhana,Pune,Subway,350,4.4,100,"Fast Food,Healthy Food,Salads,Snacks,Desserts,Beverages",Fc Road,35,ubway
5691,Bandra Area,Mumbai,Smoke House Deli,600,4.4,100,"European,Italian,American,Pastas,Salads,Juices,Desserts,Combo",Bandra Area,48,moke houe deli
5743,Bhawani Peth,Pune,Madinah,200,4.0,500,"Mughlai,North Indian,Chinese,Biryani",Poona College,34,madinah
5802,Bidhannagar,Kolkata,First Innings - The Stadel Hotel,800,4.5,20,"North Indian,Chinese,Continental",Sector 3,69,firt inning - the tadel hotel
5862,Basheer Bagh,Hyderabad,Meghacity,500,4.4,1000,"North Indian,Chinese",Basheerbagh X Road,32,meghacity
5878,Kalyani Nagar,Pune,Salad Grills,300,4.3,100,"Healthy Food,Salads,Fast Food,Continental,North Indian,Chinese",Hermes Parai,63,alad grill
5882,Ashok Nagar,Bangalore,Oh! Calcutta,800,4.3,100,Bengali,Church Street,36,oh! calcutta
5893,Shankarapura,Bangalore,Polar Bear,300,4.5,100,"Desserts,Fast Food",Vv Puram,38,polar bear
5908,Vasanth Nagar,Bangalore,Miller'S 46,1100,4.4,100,"Steakhouse,American,Continental",Cunnigham Road,47,miller 46
5916,Sivanchetti Gardens,Bangalore,Carnival De Goa,500,4.1,100,"Goan,Mangalorean,Kerala,South Indian,Seafood,Coastal,Continental",Kensington Point,48,carnival de goa
5989,Elgin,Kolkata,The Rouge,400,4.4,50,Desserts  Bakery,Near Bishop'S College  Kolkata,51,the rouge
5994,Bidhannagar,Kolkata,The Darjeeling,500,4.0,100,"Chinese,Nepalese,Tibetan",Near City Centre 1,73,the darjeeling
6075,Paschim Vihar,Delhi,London Grill Co,500,4.0,1000,"American,Healthy Food,Fast Food,Continental,Salads,Beverages,Desserts",Paschim Vihar,50,london grill co
6328,Mumbai,Mumbai,Mughal Fusions,300,3.9,100,"Mughlai,North Indian,Chinese,Seafood",Lbs Marg,38,mughal fuion
6329,Kurla West,Mumbai,Mughal Darbaar,300,3.7,500,"Mughlai,North Indian,Chinese,Seafood",Lbs Marg,40,mughal darbaar
6332,Saki Naka,Mumbai,Naaz Hotel,750,4.1,500,"Mughlai,North Indian,Chinese",Kurla West,39,naaz hotel
6345,Teynampet,Chennai,Amaravathi,650,4.2,100,"Indian,Chinese,Andhra,Tandoor",Cathedral Road,53,amaravathi
6358,Nandanam,Chennai,Eatalica,500,4.5,100,"Italian,American",Ra Puram,69,eatalica
6493,Rajajinagar,Bangalore,Kudla Beach,400,3.9,20,"North Indian,Chinese,Seafood,South Indian",Dr. Rajkumar Road,59,kudla beach
6518,Langford Gardens,Bangalore,Rolls Kitchen,200,4.4,500,Fast Food,Shanthi Nagar,35,roll kitchen
6577,Punjagutta,Hyderabad,Zyqa Restaurant,200,4.0,500,"North Indian,Biryani,Chinese",Punjagutta,55,zyqa retaurant
6585,Himayatnagar,Hyderabad,Sahara Bakers,200,3.8,500,"Bakery,Pizzas",Chikadpally,34,ahara baker
6663,Kurla West,Mumbai,Mughal Dhaba,500,4.0,20,"Mughlai,North Indian,Chinese",Lbs Marg Kurla West,36,mughal dhaba
6723,Deccan Gymkhana,Pune,Spring Onion,500,4.3,100,"Chinese,Thai,Pan-Asian,Seafood",Bhandarkar Road,39,pring onion
6745,Koti,Hyderabad,Tibbs Frankie,150,4.3,100,Snacks,Hanuman Tekdi Road,29,tibb frankie
6775,Kalighat,Kolkata,Petuk,350,4.0,20,"Mughlai,Chinese,Fast Food",Near Sujata Sadan Theater Hazra,70,petuk
6850,Malleshwaram,Bangalore,Shanthi Sagar Grand,200,4.0,100,"North Indian,South Indian,Fast Food",Sampige Road,57,hanthi agar grand
6851,Abids,Hyderabad,Agrawala Sweets,250,4.3,100,"Sweets,Fast Food",Jn Road,27,agrawala weet
6917,Powai,Mumbai,Eagle Boys Pizza,600,3.7,100,Pizzas  Fast Food,Chandivali,56,eagle boy pizza
6924,Richmond Town,Bangalore,Freshmenu,250,4.1,1000,"Chinese,Continental,Italian,Mediterranean,Thai,Lebanese,American,Asian,Beverages,Bakery,Biryani,Desserts,Mexican,North Indian,Salads,Pizzas",Aga Abdullah Street,38,frehmenu
7002,Himayatnagar,Hyderabad,Angaara,250,3.9,100,"Indian,Chinese,Tandoor",Street 4,33,angaara
7029,Santacruz East,Mumbai,Golden Wave Restaurant,1000,2.9,80,"North Indian,Chinese,Continental",Santacruz East,56,golden wave retaurant
7199,Bidhannagar,Kolkata,Afraa Deli-Sector 1,700,4.3,50,"Continental,Fast Food,Italian,Beverages",Sector 1,67,afraa deli-ector 1
7204,Bidhannagar,Kolkata, Conclave At Afraa,850,3.9,50,"Italian,Indian,Continental",Salt Lake City Centre,75,conclave at afraa
7341,Ashok Nagar,Bangalore,Shiro,1400,4.4,100,"Japanese,Asian",Vittal Mallya Road,44,hiro
7412,Khairtabad,Hyderabad,Paradise Biryani,400,3.9,100,Biryani  North Indian  Chinese,Imax Road,48,paradie biryani
7415,Aundh,Pune,Delhi Kitchen,300,4.0,100,"Tandoor,North Indian,Biryani,Beverages,Desserts",Dp Road,69,delhi kitchen
7626,Vishnu Garden,Delhi,Sethi Restaurant,300,4.0,1000,North Indian,Pacific Mall,63,ethi retaurant
7674,Beleghata,Kolkata,Mama Mia! - Italian Ice Creams,200,4.7,100,Ice Cream Cakes  Desserts  Bakery  Sweets  Beverages,Beleghata,34,mama mia! - italian ice cream
7689,Lake Town,Kolkata,Buddha Bites-Jessore Road,300,3.7,1000,"Chinese,Asian,Fast Food,Snacks,Tibetan",Jessore Road,74,buddha bite-jeore road
7776,Gopalapuram,Chennai,The Kati Roll Shop,250,4.3,1000,Street Food,Cathedral Road,52,the kati roll hop
7784,Powai Area,Mumbai,Asia Kitchen By Mainland China,850,4.3,100,"Asian,Chinese,Oriental",Powai Area,55,aia kitchen by mainland china
7826,Alwarpet,Chennai,Benjarong,1500,4.6,100,Thai,Ttk Road,68,benjarong
7828,Mylapore,Chennai,Kaaraikudi,500,3.6,100,Chettinad,Dr Radhakrishnan Salai,57,kaaraikudi
7859,Central Markt Punjabi Bagh,Delhi,Wok In The Clouds,1500,4.5,50,"North Indian,Chinese,Thai,Continental",Punjabi Bagh,72,wok in the cloud
7898,Golpark,Kolkata,Crossroad Crystal - Golpark,350,4.1,50,"Indian,Chinese,Bengali",Golpark,71,croroad crytal - golpark
7940,Andheri East,Mumbai,99 East,300,2.9,80,North Indian  Chinese  Seafood,Andheri East,57,99 eat
8009,Pashan,Pune,Saffron Multicuisine,400,4.5,20,"Mughlai,North Indian,Chinese,Seafood,Tandoor",Orange County Baner Pashan Link Road,68,affron multicuiine
8040,South Kolkata,Kolkata,Second House,500,2.9,80,"North Indian,Chinese,Kebabs,Biryani,Mughlai",Southern Avenue,84,econd houe
8046,Gariahat,Kolkata,Santa'S Fantasea,1200,4.3,100,"Tribal,Seafood,Chinese",Ballygunge Terrace Near Anjali Jewellers Golpark,80,anta fantaea
8093,Punjagutta,Hyderabad,Akson Restaurant,250,4.3,1000,"North Indian,Biryani,Kerala",Panjagutta Road,53,akon retaurant
8139,Kotturpuram,Chennai,Ciclo Cafe,1100,4.4,1000,"Continental,Italian,Italian-American",Alwarpet,71,ciclo cafe
8175,Paschim Vihar,Delhi,Chawla Kitchen,500,3.8,500,"Chinese,Mughlai,Indian,Snacks,Popular Brand Store,Fast Food",Punjabi Bagh,48,chawla kitchen
8205,Habsiguda,Hyderabad,Taste Of India,600,4.2,20,"North Indian,Chinese,Continental",Habsiguda Main Road,67,tate of india
8213,Uppal,Hyderabad,Crunchy'S,150,3.8,20,"Italian,American",Uppal Ring Road,72,crunchy
