rank,Youtuber,subscribers,video views,category,Title,uploads,Country,Abbreviation,channel_type,video_views_rank,country_rank,channel_type_rank,video_views_for_the_last_30_days,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,subscribers_for_last_30_days,Gross tertiary education enrollment (%),Population,Unemployment rate,Urban_population,Latitude,Longitude,subscriber_bins,views_bins
26,shemaroo filmi gaane,65600000,28648024439.0,music,shemaroo filmi gaane,8502,india,in,music,47.0,8.0,8.0,254961000.0,63700.0,1000000.0,764900.0,12200000.0,400000.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,High (50M - 100M),High (10B - 100B)
27,colors tv,64600000,61510906457.0,shows,colors tv,112915,india,in,entertainment,10.0,9.0,9.0,1188000000.0,296900.0,4800000.0,3600000.0,57000000.0,1100000.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,High (50M - 100M),High (10B - 100B)
28,t-series bhakti sagar,61000000,29533230328.0,music,t- series bhakti sagar,13,india,in,music,4053938.0,5803.0,5744.0,10.0,0.0,0.04,0.03,0.48,0.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,High (50M - 100M),High (10B - 100B)
29,dude perfect,59500000,16241549158.0,sports,dude perfect,389,united states,us,sports,182.0,9.0,3.0,141200000.0,35300.0,564800.0,423600.0,6800000.0,100000.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,High (50M - 100M),High (10B - 100B)
30,movieclips,59500000,59316472754.0,film & animation,movieclips,39113,united states,us,film,11.0,9.0,3.0,114668000.0,28700.0,458700.0,344000.0,5500000.0,100000.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,High (50M - 100M),High (10B - 100B)
31,tips official,59300000,33431802698.0,music,tips official,4741,india,in,music,30.0,11.0,10.0,422634000.0,105700.0,1700000.0,1300000.0,20300000.0,600000.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,High (50M - 100M),High (10B - 100B)
32,el reino infantil,58400000,57271630846.0,music,el reino infantil,1510,argentina,ar,music,13.0,1.0,11.0,611828000.0,153000.0,2400000.0,1800000.0,29400000.0,600000.0,90.0,44938712.0,9.79,41339571.0,-38.416097,-63.616672,High (50M - 100M),High (10B - 100B)
33,wave music,58000000,40602020243.0,music,wave music,19487,india,in,music,21.0,12.0,12.0,232025000.0,58000.0,928100.0,696100.0,11100000.0,500000.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,High (50M - 100M),High (10B - 100B)
34,aaj tak,57600000,25307753534.0,news & politics,aaj tak,283775,india,in,news,71.0,13.0,1.0,461148000.0,115300.0,1800000.0,1400000.0,22100000.0,500000.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,High (50M - 100M),High (10B - 100B)
35,sony music india,57200000,28837144516.0,music,sony music india,3882,india,in,music,45.0,14.0,13.0,259310000.0,64800.0,1000000.0,777900.0,12400000.0,300000.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,High (50M - 100M),High (10B - 100B)
36,eminemmusic,56900000,27073872856.0,music,eminemmusic,156,united states,us,music,59.0,10.0,14.0,260193000.0,65000.0,1000000.0,780600.0,12500000.0,300000.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,High (50M - 100M),High (10B - 100B)
37,marshmello,56400000,14696003229.0,entertainment,marshmello,436,united states,us,music,233.0,11.0,15.0,112100000.0,28000.0,448400.0,336300.0,5400000.0,100000.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,High (50M - 100M),High (10B - 100B)
38,yrf,54600000,35302243691.0,film & animation,yrf,3707,india,in,music,28.0,15.0,16.0,512093000.0,128000.0,2000000.0,1500000.0,24600000.0,500000.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,High (50M - 100M),High (10B - 100B)
39,looloo kids - nursery rhymes and children's songs,54000000,32312431239.0,music,looloo kids - nursery rhymes and children's ï¿½,11,Not Available,NA,Unknown Type,3800129.0,0.0,0.0,159.0,0.04,0.64,0.48,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,High (50M - 100M),High (10B - 100B)
40,ed sheeran,53500000,30367676736.0,music,ed sheeran,383,united kingdom,gb,music,39.0,1.0,18.0,202720000.0,50700.0,810900.0,608200.0,9700000.0,100000.0,60.0,66834405.0,3.85,55908316.0,55.378051,-3.435973,High (50M - 100M),High (10B - 100B)
41,infobells - hindi,53300000,30516172739.0,education,infobells - hindi,577,india,in,education,37.0,16.0,4.0,815949000.0,204000.0,3300000.0,2400000.0,39200000.0,1600000.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,High (50M - 100M),High (10B - 100B)
42,taylor swift,52900000,29884657286.0,music,taylor swift,216,united states,us,music,40.0,13.0,19.0,528392000.0,132100.0,2100000.0,1600000.0,25400000.0,800000.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,High (50M - 100M),High (10B - 100B)
43,ariana grande,52700000,24004842608.0,music,ariana grande,147,united states,us,music,78.0,14.0,20.0,160216000.0,40100.0,640900.0,480600.0,7700000.0,100000.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,High (50M - 100M),High (10B - 100B)
44,billionsurprisetoys  - nursery rhymes & cartoons,52200000,9877365274.0,education,billionsurprisetoys  - nursery rhymes & cartï¿½,847,united states,us,education,450.0,15.0,5.0,266747000.0,66700.0,1100000.0,800200.0,12800000.0,600000.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,High (50M - 100M),Medium (1B - 10B)
45,juegagerman,48100000,14631710289.0,gaming,juegagerman,2052,chile,cl,games,237.0,1.0,2.0,66388000.0,16600.0,265600.0,199200.0,3200000.0,200000.0,88.5,18952038.0,7.09,16610135.0,-35.675147,-71.542969,Medium (10M - 50M),High (10B - 100B)
46,billie eilish,47900000,13626331061.0,music,billie eilish,65,united states,us,music,263.0,16.0,21.0,146862000.0,36700.0,587400.0,440600.0,7000000.0,200000.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Medium (10M - 50M),High (10B - 100B)
47,get movies,47500000,30788679536.0,entertainment,get movies,3322,russia,ru,film,35.0,1.0,4.0,306540000.0,76600.0,1200000.0,919600.0,14700000.0,700000.0,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756,Medium (10M - 50M),High (10B - 100B)
48,shemaroo,47400000,22519705183.0,entertainment,shemaroo,11451,india,in,entertainment,97.0,17.0,10.0,232744000.0,58200.0,931000.0,698200.0,11200000.0,500000.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Medium (10M - 50M),High (10B - 100B)
49,badabun,46800000,19398045702.0,entertainment,badabun,1,Not Available,NA,music,4047729.0,0.0,5525.0,440.0,0.11,2.0,1.0,21.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium (10M - 50M),High (10B - 100B)
50,sonymusicindiavevo,46600000,27286058807.0,music,sonymusicindiavevo,3444,united states,us,music,55.0,17.0,22.0,314505000.0,78600.0,1300000.0,943500.0,15100000.0,400000.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Medium (10M - 50M),High (10B - 100B)
51,a4,46300000,22936630813.0,gaming,aefour,1,cuba,cu,people,4053056.0,99.0,5359.0,94.0,0.02,0.38,0.28,5.0,10.0,41.4,11333483.0,1.64,8739135.0,21.521757,-77.781167,Medium (10M - 50M),High (10B - 100B)
52,bad bunny,46100000,30686342319.0,music,badbunny,1,Not Available,NA,sports,4046070.0,0.0,4501.0,1.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium (10M - 50M),High (10B - 100B)
53,fernanfloo,46100000,10323391593.0,gaming,fernanfloo,543,el salvador,sv,games,419.0,1.0,3.0,33842000.0,8500.0,135400.0,101500.0,1600000.0,200000.0,29.4,6453553.0,4.11,4694702.0,13.794185,-88.89653,Medium (10M - 50M),High (10B - 100B)
54,voot kids,45500000,21388725229.0,entertainment,voot kids,4660,india,in,entertainment,105.0,18.0,13.0,233988000.0,58500.0,936000.0,702000.0,11200000.0,400000.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Medium (10M - 50M),High (10B - 100B)
55,felipe neto,45200000,16602198273.0,entertainment,felipe neto,4331,brazil,br,entertainment,174.0,2.0,14.0,130359000.0,32600.0,521400.0,391100.0,6300000.0,200000.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528,Medium (10M - 50M),High (10B - 100B)
56,vocï¿½ï¿½ï¿½,44700000,7828610828.0,entertainment,vocï¿½ï¿½ï¿½,1558,brazil,br,entertainment,681.0,3.0,15.0,48032000.0,12000.0,192100.0,144100.0,2300000.0,100000.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528,Medium (10M - 50M),Medium (1B - 10B)
57,har pal geo,44600000,41139050371.0,entertainment,har pal geo,100755,pakistan,pk,entertainment,20.0,1.0,15.0,1337000000.0,334300.0,5300000.0,4000000.0,64200000.0,1300000.0,9.0,216565318.0,4.45,79927762.0,30.375321,69.345116,Medium (10M - 50M),High (10B - 100B)
58,bright side,44500000,10708531817.0,howto & style,brightside,0,Not Available,NA,Unknown Type,4057944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium (10M - 50M),High (10B - 100B)
59,katy perry,44200000,25458952022.0,music,katy perry,128,united states,us,music,70.0,19.0,24.0,134242000.0,33600.0,537000.0,402700.0,6400000.0,100000.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Medium (10M - 50M),High (10B - 100B)
60,whinderssonnunes,44200000,4274709210.0,comedy,whinderssonnunes,558,brazil,br,comedy,1741.0,4.0,1.0,26683000.0,6700.0,106700.0,80100.0,1300000.0,0.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528,Medium (10M - 50M),Medium (1B - 10B)
61,abs-cbn entertainment,44200000,50292540392.0,people & blogs,abs-cbn entertainment,193890,philippines,ph,entertainment,16.0,1.0,16.0,176629000.0,44200.0,706500.0,529900.0,8500000.0,300000.0,35.5,108116615.0,2.15,50975903.0,12.879721,121.774017,Medium (10M - 50M),High (10B - 100B)
62,alan walker,43700000,12884264778.0,music,alanwalker,8,thailand,th,film,4056116.0,4026.0,5270.0,22.0,0.01,0.09,0.07,1.0,0.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541,Medium (10M - 50M),High (10B - 100B)
63,holasoygerman.,43600000,4831311245.0,entertainment,holasoygerman. 2,6,Not Available,NA,people,4047806.0,0.0,7716.0,4.0,0.0,0.02,0.01,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium (10M - 50M),Medium (1B - 10B)
64,shakira,43500000,27568757295.0,people & blogs,shakira,326,colombia,co,howto,52.0,1.0,3.0,353412000.0,88400.0,1400000.0,1100000.0,17000000.0,500000.0,55.3,50339443.0,9.71,40827302.0,4.570868,-74.297333,Medium (10M - 50M),High (10B - 100B)
65,ýý ýý ýý,43200000,36458726976.0,film & animation,ýýýýýýýý ýý ýýýýýýýýýýýýýý,1478,russia,ru,education,26.0,2.0,6.0,303780000.0,75900.0,1200000.0,911300.0,14600000.0,300000.0,81.9,144373535.0,4.59,107683889.0,61.52401,105.318756,Medium (10M - 50M),High (10B - 100B)
66,ary digital hd,43200000,37939780685.0,entertainment,ary digital hd,109871,pakistan,pk,entertainment,24.0,2.0,18.0,1149000000.0,287300.0,4600000.0,3400000.0,55200000.0,900000.0,9.0,216565318.0,4.45,79927762.0,30.375321,69.345116,Medium (10M - 50M),High (10B - 100B)
67,speed records,42500000,26820902622.0,music,speed records,10938,india,in,music,62.0,19.0,26.0,159757000.0,39900.0,639000.0,479300.0,7700000.0,100000.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Medium (10M - 50M),High (10B - 100B)
68,masha and the bear,42400000,24519022988.0,shows,masha and the bear,1218,united states,us,film,74.0,20.0,5.0,670459000.0,167600.0,2700000.0,2000000.0,32200000.0,1000000.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Medium (10M - 50M),High (10B - 100B)
69,like nastya show,42400000,19547696190.0,entertainment,like nastya show,618,united states,us,entertainment,128.0,21.0,19.0,53202000.0,13300.0,212800.0,159600.0,2600000.0,0.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Medium (10M - 50M),High (10B - 100B)
70,rihanna,41900000,22477745835.0,entertainment,rihanna,84,barbados,bb,music,98.0,1.0,27.0,182926000.0,45700.0,731700.0,548800.0,8800000.0,100000.0,65.4,287025.0,10.33,89431.0,13.193887,-59.543198,Medium (10M - 50M),High (10B - 100B)
71,ishtar music,41400000,17608931161.0,trailers,ishtar music,4510,india,in,music,155.0,20.0,28.0,180942000.0,45200.0,723800.0,542800.0,8700000.0,400000.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Medium (10M - 50M),High (10B - 100B)
72,kimberly loaiza,41300000,5603111948.0,people & blogs,kimberly loaiza,291,mexico,mx,people,1157.0,2.0,1.0,136745000.0,34200.0,547000.0,410200.0,6600000.0,400000.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784,Medium (10M - 50M),Medium (1B - 10B)
73,little baby bum - nursery rhymes & kids songs,40900000,39450824833.0,education,little baby bum - nursery rhymes & kids songs,2423,united states,us,education,22.0,22.0,7.0,98775000.0,24700.0,395100.0,296300.0,4700000.0,100000.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Medium (10M - 50M),High (10B - 100B)
74,luisito comunica,40600000,8670473639.0,comedy,luis arturo villar sudek,0,mexico,mx,comedy,3612215.0,3021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2,126014024.0,3.42,102626859.0,23.634501,-102.552784,Medium (10M - 50M),Medium (1B - 10B)
75,elrubiusomg,40400000,7410536668.0,gaming,elrubiusomg,703,Not Available,NA,entertainment,756.0,0.0,21.0,5773000.0,1400.0,23100.0,17300.0,277100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium (10M - 50M),Medium (1B - 10B)
76,toys and colors,40300000,47005053156.0,entertainment,toys and colors,4,Not Available,NA,people,3989650.0,0.0,7330.0,5.0,0.0,0.02,0.02,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium (10M - 50M),High (10B - 100B)
77,shfa2 - ï¿½ï¿½,39700000,23884824160.0,people & blogs,shfa2 - ï¿½ï¿½,1596,united arab emirates,ae,people,81.0,1.0,2.0,247731000.0,61900.0,990900.0,743200.0,11900000.0,300000.0,36.8,9770529.0,2.35,8479744.0,23.424076,53.847818,Medium (10M - 50M),High (10B - 100B)
78,luccas neto - luccas toon,39400000,22302547082.0,people & blogs,luccas neto- luccas toon,1,Not Available,NA,games,4057895.0,0.0,7498.0,2.0,0.0,0.01,0.01,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium (10M - 50M),High (10B - 100B)
79,carryminati,39200000,3294013141.0,comedy,carryminati,186,india,in,comedy,2487.0,21.0,2.0,78688000.0,19700.0,314800.0,236100.0,3800000.0,700000.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Medium (10M - 50M),Medium (1B - 10B)
80,xxxtentacion,39200000,10507474316.0,music,xxxtentacion,133,united states,us,music,403.0,24.0,29.0,58362000.0,14600.0,233400.0,175100.0,2800000.0,100000.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Medium (10M - 50M),High (10B - 100B)
81,super simple songs - kids songs,39200000,44900897958.0,education,super simple songs - kids songs,744,canada,ca,education,19.0,2.0,8.0,560756000.0,140200.0,2200000.0,1700000.0,26900000.0,400000.0,68.9,36991981.0,5.56,30628482.0,56.130366,-106.346771,Medium (10M - 50M),High (10B - 100B)
82,mikecrack,39100000,16118181673.0,gaming,mikecrack,1876,spain,es,games,188.0,1.0,4.0,264108000.0,66000.0,1100000.0,792300.0,12700000.0,800000.0,88.9,47076781.0,13.96,37927409.0,40.463667,-3.74922,Medium (10M - 50M),High (10B - 100B)
83,workpointofficial,39000000,36131228583.0,entertainment,workpointofficial,72580,thailand,th,entertainment,27.0,1.0,24.0,130461000.0,32600.0,521800.0,391400.0,6300000.0,200000.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541,Medium (10M - 50M),High (10B - 100B)
84,gr6 explode,38900000,25154232306.0,music,gr6 explode,3043,brazil,br,music,73.0,6.0,30.0,1635000000.0,408700.0,6500000.0,4900000.0,78500000.0,100000.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528,Medium (10M - 50M),High (10B - 100B)
85,tedx talks,38600000,7339333120.0,nonprofits & activism,tedx talks,200933,united states,us,nonprofit,768.0,25.0,1.0,45638000.0,11400.0,182600.0,136900.0,2200000.0,100000.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Medium (10M - 50M),Medium (1B - 10B)
86,shfa,38400000,21528116909.0,people & blogs,ýýýýýýýýýý ýýýýýý,982,saudi arabia,sa,games,150882.0,774.0,1454.0,1589000.0,397.0,6400.0,4800.0,76300.0,2000.0,68.0,34268528.0,5.93,28807838.0,23.885942,45.079162,Medium (10M - 50M),High (10B - 100B)
87,goldmines gaane sune ansune,38300000,16718192386.0,music,goldmines gaane sune ansune,3532,india,in,music,170.0,22.0,31.0,814756000.0,203700.0,3300000.0,2400000.0,39100000.0,400000.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Medium (10M - 50M),High (10B - 100B)
88,one direction,38200000,13598903820.0,music,21 savage,11,united states,us,music,539848.0,2904.0,2594.0,6348.0,2.0,25.0,19.0,305.0,100.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Medium (10M - 50M),High (10B - 100B)
89,theellenshow,38200000,22756581750.0,entertainment,theellenshow,15672,united states,us,entertainment,93.0,26.0,26.0,21804000.0,5500.0,87200.0,65400.0,1000000.0,0.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Medium (10M - 50M),High (10B - 100B)
90,sony pal,38200000,28519339489.0,shows,sony pal,24089,india,in,entertainment,49.0,23.0,25.0,415914000.0,104000.0,1700000.0,1200000.0,20000000.0,500000.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Medium (10M - 50M),High (10B - 100B)
91,daddy yankee,38000000,22731415608.0,music,daddy yankee,505,united states,us,music,92.0,27.0,33.0,205594000.0,51400.0,822400.0,616800.0,9900000.0,100000.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Medium (10M - 50M),High (10B - 100B)
92,vlad vï¿½ï¿½ï,37900000,23510152352.0,Other,vlad vï¿½ï¿½ï,515,united states,us,entertainment,84.0,28.0,27.0,244093000.0,61000.0,976400.0,732300.0,11700000.0,200000.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Medium (10M - 50M),High (10B - 100B)
93,like nastya esp,37600000,18208196857.0,entertainment,like nastya esp,743,united states,us,entertainment,145.0,29.0,28.0,321026000.0,80300.0,1300000.0,963100.0,15400000.0,700000.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Medium (10M - 50M),High (10B - 100B)
94, one31,37500000,27262462114.0,entertainment,ýýýýýýýýýýýý one31,117152,thailand,th,entertainment,56.0,2.0,29.0,140754000.0,35200.0,563000.0,422300.0,6800000.0,300000.0,49.3,69625582.0,0.75,35294600.0,15.870032,100.992541,Medium (10M - 50M),High (10B - 100B)
95,jkk entertainment,37200000,16402066717.0,comedy,jkk entertainment,220,india,in,comedy,178.0,24.0,3.0,49861000.0,12500.0,199400.0,149600.0,2400000.0,100000.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Medium (10M - 50M),High (10B - 100B)
96,abp news,37000000,13102611515.0,people & blogs,abp news,301308,india,in,news,280.0,25.0,2.0,267060000.0,66800.0,1100000.0,801200.0,12800000.0,400000.0,28.1,1366417754.0,5.36,471031528.0,20.593684,78.96288,Medium (10M - 50M),High (10B - 100B)
97,maria clara & jp,37000000,24188861917.0,people & blogs,maria clara & jp,744,brazil,br,entertainment,75.0,7.0,30.0,251449000.0,62900.0,1000000.0,754300.0,12100000.0,300000.0,51.3,212559417.0,12.08,183241641.0,-14.235004,-51.92528,Medium (10M - 50M),High (10B - 100B)
98,bruno mars,36700000,19378155425.0,music,bruno mars,99,united states,us,music,134.0,30.0,34.0,175243000.0,43800.0,701000.0,525700.0,8400000.0,200000.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Medium (10M - 50M),High (10B - 100B)
99,maroon 5,36600000,22553923546.0,music,maroon 5,171,united states,us,music,96.0,31.0,35.0,152825000.0,38200.0,611300.0,458500.0,7300000.0,0.0,88.2,328239523.0,14.7,270663028.0,37.09024,-95.712891,Medium (10M - 50M),High (10B - 100B)
